Order ID,Order Date,Country,City,Region,Subregion,Customer,Customer ID,Industry,Segment,Product,License,Sales,Quantity,Discount,Profit
EMEA-2022-152156,2022-11-09,Ireland,Dublin,EMEA,UKIR,Chevron,1017,Energy,Smb,Marketing Suite,16GRM07R1K,261.96,2,0.0,41.9136
EMEA-2022-152156,2022-11-09,Ireland,Dublin,EMEA,UKIR,Chevron,1017,Energy,Smb,Financehub,QLIW57KZUV,731.94,3,0.0,219.582
AMER-2022-138688,2022-06-13,United States,New York City,AMER,NAMER,Phillips 66,1056,Energy,Strategic,Financehub,JI6BVL70HQ,14.62,2,0.0,6.8714
EMEA-2021-108966,2021-10-11,Germany,Stuttgart,EMEA,EU-WEST,Royal Dutch Shell,1031,Energy,Smb,Contactmatcher,DE9GJKGD44,957.5775,5,0.45,-383.031
EMEA-2021-108966,2021-10-11,Germany,Stuttgart,EMEA,EU-WEST,Royal Dutch Shell,1031,Energy,Smb,Marketing Suite - Gold,OIF7NY23WD,22.368,2,0.2,2.5164
AMER-2020-115812,2020-06-09,United States,New York City,AMER,NAMER,BNP Paribas,1065,Finance,Smb,Saas Connector Pack,8RM88WFOAE,48.86,7,0.0,14.1694
AMER-2020-115812,2020-06-09,United States,New York City,AMER,NAMER,BNP Paribas,1065,Finance,Smb,Chatbot Plugin,4SYTVM0746,7.28,4,0.0,1.9656
AMER-2020-115812,2020-06-09,United States,New York City,AMER,NAMER,BNP Paribas,1065,Finance,Smb,Site Analytics,07842ES7DY,907.152,6,0.2,90.7152
AMER-2020-115812,2020-06-09,United States,New York City,AMER,NAMER,BNP Paribas,1065,Finance,Smb,Contactmatcher,XPBOBXWXA3,18.504,3,0.2,5.7825
AMER-2020-115812,2020-06-09,United States,New York City,AMER,NAMER,BNP Paribas,1065,Finance,Smb,Oneview,71J8P9Z1P0,114.9,5,0.0,34.47
AMER-2020-115812,2020-06-09,United States,New York City,AMER,NAMER,BNP Paribas,1065,Finance,Smb,Contactmatcher,43NZ37VE2D,1706.184,9,0.2,85.3092
AMER-2020-115812,2020-06-09,United States,New York City,AMER,NAMER,BNP Paribas,1065,Finance,Smb,Site Analytics,JG14MOU94R,911.424,4,0.2,68.3568
EMEA-2023-114412,2023-04-16,Sweden,Stockholm,EMEA,NOR,Engie,1062,Energy,Smb,Support,FE5QJBIUN1,15.552,3,0.2,5.4432
AMER-2022-161389,2022-12-06,Canada,Toronto,AMER,NAMER,Microsoft,1066,Tech,Smb,Contactmatcher,COK66F8IC1,407.976,3,0.2,132.5922
APJ-2021-118983,2021-11-22,Japan,Saitama,APJ,JAPN,Pfizer,1074,Healthcare,Enterprise,Oneview,D8FGC56NNX,68.81,5,0.8,-123.858
APJ-2021-118983,2021-11-22,Japan,Saitama,APJ,JAPN,Pfizer,1074,Healthcare,Enterprise,Contactmatcher,NRKT5R1A1G,2.544,3,0.8,-3.816
